_,Register,"Dictionary Version at introduction","Node or
Leaf",Level,"SMPTE Designator
(first 8 octets)",,,,,,,Version,"SMPTE Item Designator
(last 8 octets following Metadata Dictionary Universal Label) ",,,,,,,,,,,"Formatted as UL",,,,,,"Data Element Name","Data Element Definition",Type,,,,,,"Value Length","Value Range",,,"Defining Document",Notes
,Metadata,1,Node,0,06,0E,2B,34,1,01,01,1,0,00,00,00,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.00.00.00.00.00.00.00.00,,,,,,ELEMENTS,"Register of individual Metadata Elements",,,,,,,,,,,,
,Metadata,1,Node,1,06,0E,2B,34,1,01,01,1,01,00,00,00,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.00.00.00.00.00.00.00,,,,,,"IDENTIFIERS & LOCATORS","Class 1 metadata is reserved for abstract Identifiers & locators",,,,,,,,,,,,
,Metadata,1,Node,2,06,0E,2B,34,01,01,01,1,01,01,00,00,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.00.00.00.00.00.00,,,,,,"Globally Unique Identifiers","Unique identifiers and locators",,,,,,,,,,,,
,Metadata,1,Node,3,06,0A,2B,34,01,01,01,1,01,01,01,0,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.00.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M","The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h"
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,01,10,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.10.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,01,11,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.11.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,01,12,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.12.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,01,20,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.20.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,01,21,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.21.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,01,22,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.01.22.00.00.00.00,,,,,,"UMID Video","Unique Material Identifier for video essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
